id;nome;tipo;regiao;endereco;lat;lon;pessoas_ideal;janelas;dias_fixos;coberto;inviavel;fluxo_panfletos_hora;raio_km;n_locais_1km;aptos_1km;pct_direita_ver24_1km;pct_direita_est22_1km;pct_novo_ver24_1km;tendencia_dir_20_24;tendencia_novo_20_24;pct_bruno18_1km;pct_brunofed22_1km;votos_direita22_1km;votos_matheus_1km;pct_superior_1km;pct_16a24_1km;afinidade_raw;liberal_raw;comp_afinidade;comp_liberal;comp_fluxo;comp_perfil;indice;classe
CALCADAO-FELIPE;Calçadão da Felipe Schmidt;calcadao;Centro;R. Felipe Schmidt, Centro;-27,5963;-48,5503;3;almoco;;False;False;280,0000;1,0000;10;36351;0,2481;0,2563;0,0709;0,0614;-0,0269;0,0852;0,1266;7216;7;0,5090;0,1016;0,2816;0,0884;0,7555;0,3804;1,0000;0,7604;100,0000;OURO — fluxo e afinidade altos
TITRI;TITRI — Terminal da Trindade;terminal;Centro;R. Lauro Linhares, Trindade;-27,5891;-48,5219;3;manha,tarde;;True;False;280,0000;1,0000;5;9926;0,2131;0,2240;0,0657;0,0923;0,0023;0,0579;0,0899;1705;3;0,4495;0,1023;0,2629;0,0698;0,6515;0,2528;1,0000;0,6705;89,2000;misto
SEM-ITACORUBI;Rótula do Itacorubi (Admar Gonzaga × Amaro A. Vieira);semaforo;Centro;Rótula do Itacorubi, Itacorubi;-27,5796;-48,4936;3;manha,tarde;;False;False;169,0000;2,0000;5;20828;0,2327;0,2321;0,0775;0,0762;-0,0260;0,0760;0,1224;3186;15;0,5467;0,1041;0,2706;0,0883;0,6943;0,3801;0,5451;0,8232;83,5000;OURO — fluxo e afinidade altos
SEM-MADRE-LAURO;Semáforo Madre Benvenuta × Lauro Linhares;semaforo;Centro;Av. Madre Benvenuta, Santa Mônica;-27,5901;-48,5094;2;manha,tarde;;False;False;162,0000;1,0000;7;24125;0,2350;0,2405;0,0818;0,0765;-0,0178;0,0736;0,1180;3915;13;0,5383;0,1050;0,2751;0,0888;0,7195;0,3833;0,5164;0,8122;83,5000;OURO — fluxo e afinidade altos
TICEN;TICEN — Terminal do Centro;terminal;Centro;Av. Paulo Fontes, Centro;-27,5992;-48,5525;4;manha,tarde;;True;False;280,0000;1,0000;7;16948;0,2118;0,2348;0,0561;0,0456;-0,0149;0,0619;0,0961;3026;2;0,4495;0,1011;0,2423;0,0675;0,5366;0,2370;1,0000;0,6681;83,3000;misto
IFSC-CENTRO;IFSC — Centro (Mauro Ramos);universidade;Centro;Av. Mauro Ramos, 950 — Centro;-27,5928;-48,5464;2;manha,tarde;;False;False;135,0000;1,0000;11;41927;0,2509;0,2566;0,0729;0,0698;-0,0249;0,0878;0,1275;8349;7;0,5207;0,1009;0,2877;0,0903;0,7894;0,3933;0,4057;0,7769;82,4000;misto
MERCADO-PUBLICO;Mercado Público de Florianópolis;mercado;Centro;R. Jerônimo Coelho, Centro;-27,5977;-48,5525;2;almoco;;True;False;180,0000;1,0000;9;29768;0,2347;0,2483;0,0647;0,0573;-0,0207;0,0751;0,1142;5668;5;0,4866;0,0959;0,2679;0,0797;0,6791;0,3206;0,5902;0,7144;79,8000;OURO — fluxo e afinidade altos
FEIRA-ALFANDEGA;Feira do Largo da Alfândega (Centro);feira;Centro;Largo da Alfândega, Centro;-27,5975;-48,5514;3;feira,almoco;ter,qua,sex,sab;False;False;160,0000;1,0000;9;29768;0,2347;0,2483;0,0647;0,0573;-0,0207;0,0751;0,1142;5668;5;0,4866;0,0959;0,2679;0,0797;0,6791;0,3206;0,5082;0,7144;77,0000;OURO — fluxo e afinidade altos
SEM-IGUATEMI;Semáforo do Iguatemi (Av. Madre Benvenuta);semaforo;Centro;Av. Madre Benvenuta, 687 — Santa Mônica;-27,5931;-48,5023;2;almoco,tarde;;False;False;148,0000;1,0000;6;23775;0,2248;0,2392;0,0787;0,0569;-0,0259;0,0738;0,1210;3836;11;0,5456;0,0883;0,2581;0,0881;0,6245;0,3783;0,4590;0,7893;76,3000;misto
UDESC-ITACORUBI;UDESC/ESAG — Itacorubi;universidade;Centro;Av. Madre Benvenuta, 2007 — Itacorubi;-27,5920;-48,5085;2;manha,tarde;;False;False;108,0000;1,0000;6;23062;0,2355;0,2407;0,0820;0,0765;-0,0178;0,0736;0,1196;3694;12;0,5341;0,0988;0,2755;0,0893;0,7214;0,3868;0,2951;0,7932;75,7000;misto
