chave;nome;endereco;bairro_tse;bairro_ibge;regiao;cep;lat;lon;aptos;aptos_2022;aptos_2024;n_secoes_2022;comparecimento_22;abstencao_22;validos_dep_est_22;votos_novo_dep_est_22;pct_novo_dep_est_22;votos_pl_dep_est_22;pct_pl_dep_est_22;votos_direita_dep_est_22;pct_direita_dep_est_22;validos_dep_fed_22;votos_novo_dep_fed_22;pct_novo_dep_fed_22;votos_pl_dep_fed_22;pct_pl_dep_fed_22;votos_direita_dep_fed_22;pct_direita_dep_fed_22;votos_bolsonaro_22;pct_bolsonaro_22;votos_gov_novo_22;pct_gov_novo_22;votos_gov_pl_22;pct_gov_pl_22;validos_ver_24;votos_novo_ver_24;pct_novo_ver_24;votos_pl_ver_24;pct_pl_ver_24;votos_direita_ver_24;pct_direita_ver_24;top3_vereadores_direita;prefeito_lider_24;prefeito_2024_pct;votos_matheus_22;penetracao_matheus;pct_16a24;pct_60mais;pct_superior;pct_feminino;comp_potencial;comp_liberal;comp_densidade;comp_consistencia;flag_pequeno;score
Z12-L1708;COLEGIO CATARINENSE;RUA ESTEVES JÚNIOR, N. 711;CENTRO;Centro;Centro;88015130;-27,5889;-48,5534;7940,0000;7940,0000;8211,0000;20,0000;6525,0000;0,1782;6273,0000;458,0000;0,0730;1472,0000;0,2347;1930,0000;0,3077;6209,0000;1353,0000;0,2179;1506,0000;0,2426;2859,0000;0,4605;3805,0000;0,5934;334,0000;0,0526;1791,0000;0,2820;5702,0000;524,0000;0,0919;1246,0000;0,2185;1770,0000;0,3104;Manoella Vieira Da Silva (PL, 365 votos) | Ingo Camara Althoff (PL, 241 votos) | Thiago Jose De Chaves (NOVO, 171 votos);Topazio Silveira Neto (69,2%);"{""Topazio Silveira Neto"": 69.2, ""Marcos José De Abreu"": 17.2, ""Pedro De Assis Silvestre"": 7.8, ""Vanderlei Farias"": 3.0, ""Dário Elias Berger"": 2.6, ""Rogerio Silva Portanova"": 0.2, ""Brunno Andrade Dias"": 0.0}";3,0000;0,0016;0,0903;0,2995;0,6495;0,5399;1,0000;0,6775;0,9202;0,9904;False;100,0000
Z12-L1015;CENTRO EDUCACIONAL MENINO JESUS;RUA ESTEVES JÚNIOR, N. 969;CENTRO;Centro;Centro;88015130;-27,5883;-48,5534;6583,0000;6583,0000;6638,0000;17,0000;5522,0000;0,1612;5290,0000;450,0000;0,0851;1098,0000;0,2076;1548,0000;0,2926;5242,0000;1190,0000;0,2270;1121,0000;0,2138;2311,0000;0,4409;2813,0000;0,5206;252,0000;0,0472;1316,0000;0,2464;4532,0000;447,0000;0,0986;953,0000;0,2103;1400,0000;0,3089;Manoella Vieira Da Silva (PL, 317 votos) | Ingo Camara Althoff (PL, 193 votos) | Thiago Jose De Chaves (NOVO, 127 votos);Topazio Silveira Neto (64,8%);"{""Topazio Silveira Neto"": 64.8, ""Marcos José De Abreu"": 20.6, ""Pedro De Assis Silvestre"": 8.4, ""Vanderlei Farias"": 3.5, ""Dário Elias Berger"": 2.2, ""Rogerio Silva Portanova"": 0.4, ""Mateus Souza"": 0.0, ""Brunno Andrade Dias"": 0.0, ""Carlos Rogério Muller"": 0.0}";2,0000;0,0013;0,1273;0,2353;0,6102;0,5593;0,8021;0,7610;0,7629;0,9386;False;89,2000
Z100-L1155;UDESC - CENTRO DE ARTES - CEART;AVENIDA MADRE BENVENUTA, 2007;ITACORUBI;Itacorubi;Centro;88035001;-27,5862;-48,5039;7937,0000;7937,0000;4231,0000;20,0000;6643,0000;0,1630;6241,0000;423,0000;0,0678;1006,0000;0,1612;1429,0000;0,2290;6147,0000;969,0000;0,1576;1016,0000;0,1653;1985,0000;0,3229;2745,0000;0,4204;227,0000;0,0357;1308,0000;0,2059;3052,0000;225,0000;0,0737;449,0000;0,1471;674,0000;0,2208;Manoella Vieira Da Silva (PL, 104 votos) | Rafael Luiz Marques Ary (NOVO, 57 votos) | João Ricardo Padilha Santos (PL, 46 votos);Topazio Silveira Neto (57,7%);"{""Topazio Silveira Neto"": 57.7, ""Marcos José De Abreu"": 24.4, ""Pedro De Assis Silvestre"": 7.4, ""Vanderlei Farias"": 5.6, ""Dário Elias Berger"": 4.2, ""Rogerio Silva Portanova"": 0.5, ""Brunno Andrade Dias"": 0.1, ""Mateus Souza"": 0.0}";9,0000;0,0063;0,1070;0,1814;0,5167;0,5466;0,7404;0,5899;0,9198;0,9698;False;85,7000
Z13-L1546;ESCOLA BÁSICA MUNICIPAL BRIGADEIRO EDUARDO GOMES;AVENIDA PEQUENO PRÍNCIPE, N. 2939;CAMPECHE;Campeche Leste;Sul da Ilha;88063000;-27,6866;-48,4852;8629,0000;8629,0000;8408,0000;23,0000;6975,0000;0,1917;6443,0000;255,0000;0,0396;1144,0000;0,1776;1399,0000;0,2171;6308,0000;693,0000;0,1099;1238,0000;0,1963;1931,0000;0,3061;2856,0000;0,4122;164,0000;0,0249;1346,0000;0,2041;5454,0000;152,0000;0,0279;1331,0000;0,2440;1483,0000;0,2719;Gilberto Alcebiades Pinheiro (PL, 746 votos) | Manoella Vieira Da Silva (PL, 117 votos) | Katia Chubaci (PL, 86 votos);Topazio Silveira Neto (47,4%);"{""Topazio Silveira Neto"": 47.4, ""Marcos José De Abreu"": 34.4, ""Dário Elias Berger"": 6.0, ""Vanderlei Farias"": 5.9, ""Pedro De Assis Silvestre"": 5.8, ""Rogerio Silva Portanova"": 0.4, ""Brunno Andrade Dias"": 0.0, ""Carlos Rogério Muller"": 0.0, ""Mateus Souza"": 0.0}";0,0000;0,0000;0,0730;0,1899;0,3748;0,5301;0,7249;0,2934;1,0000;0,7912;False;75,6000
Z12-L2089;COLÉGIO SALVATORIANO NOSSA SENHORA DE FÁTIMA;RUA AFONSO PENA, N. 1264;ESTREITO;Coloninha;Continente;88070650;-27,5922;-48,5880;6735,0000;6735,0000;6607,0000;17,0000;5785,0000;0,1411;5425,0000;232,0000;0,0428;1130,0000;0,2083;1362,0000;0,2511;5310,0000;758,0000;0,1427;1231,0000;0,2318;1989,0000;0,3746;2985,0000;0,5288;153,0000;0,0276;1454,0000;0,2618;4620,0000;214,0000;0,0463;797,0000;0,1725;1011,0000;0,2188;Manoella Vieira Da Silva (PL, 178 votos) | João Ricardo Padilha Santos (PL, 80 votos) | Pedro Neves Bueno Cordoba (PL, 65 votos);Topazio Silveira Neto (59,1%);"{""Topazio Silveira Neto"": 59.1, ""Marcos José De Abreu"": 18.5, ""Pedro De Assis Silvestre"": 12.9, ""Vanderlei Farias"": 5.2, ""Dário Elias Berger"": 4.2, ""Rogerio Silva Portanova"": 0.1}";1,0000;0,0007;0,1157;0,1964;0,4042;0,5415;0,7057;0,3716;0,7805;0,8775;False;73,5000
Z100-L1732;ESCOLA BÁSICA MUNICIPAL PROFESSORA HERONDINA MEDEIROS ZEFERINO;RUA TRÊS MARIAS, 1072;INGLESES;Ingleses Centro;Norte da Ilha;88058648;-27,4356;-48,4099;7693,0000;7693,0000;9413,0000;20,0000;5901,0000;0,2329;5234,0000;190,0000;0,0363;1158,0000;0,2212;1348,0000;0,2575;5179,0000;486,0000;0,0938;1202,0000;0,2321;1688,0000;0,3259;2820,0000;0,4698;84,0000;0,0152;1320,0000;0,2381;5464,0000;176,0000;0,0322;1022,0000;0,1870;1198,0000;0,2193;João Paulo Ferreira (PL, 318 votos) | Marcelo Fernando De Oliveira (PL, 149 votos) | Manuel Cristovão Augusto Junior (PL, 139 votos);Topazio Silveira Neto (65,9%);"{""Topazio Silveira Neto"": 65.9, ""Marcos José De Abreu"": 16.6, ""Dário Elias Berger"": 6.5, ""Vanderlei Farias"": 6.5, ""Pedro De Assis Silvestre"": 4.2, ""Carlos Rogério Muller"": 0.1, ""Brunno Andrade Dias"": 0.1, ""Rogerio Silva Portanova"": 0.1}";3,0000;0,0022;0,2146;0,1198;0,2411;0,5493;0,6984;0,2915;0,8915;0,8543;False;73,0000
Z12-L2046;ESCOLA DE EDUCAÇÃO BÁSICA ADERBAL RAMOS DA SILVA;RUA CORONEL PEDRO DEMORO, N. 1998;ESTREITO;Balneário;Continente;88075300;-27,5819;-48,5823;5836,0000;5836,0000;5836,0000;16,0000;4808,0000;0,1761;4475,0000;166,0000;0,0371;987,0000;0,2206;1153,0000;0,2577;4372,0000;501,0000;0,1146;1124,0000;0,2571;1625,0000;0,3717;2541,0000;0,5441;89,0000;0,0195;1340,0000;0,2934;3972,0000;183,0000;0,0461;627,0000;0,1579;810,0000;0,2039;Manoella Vieira Da Silva (PL, 127 votos) | Pedro Neves Bueno Cordoba (PL, 76 votos) | Fabricio Rodrigo Correia De Mello (PL, 71 votos);Topazio Silveira Neto (60,2%);"{""Topazio Silveira Neto"": 60.2, ""Marcos José De Abreu"": 17.7, ""Pedro De Assis Silvestre"": 11.6, ""Vanderlei Farias"": 5.7, ""Dário Elias Berger"": 4.5, ""Rogerio Silva Portanova"": 0.1, ""Carlos Rogério Muller"": 0.1, ""Mateus Souza"": 0.1, ""Brunno Andrade Dias"": 0.1}";2,0000;0,0017;0,0999;0,3352;0,3501;0,5504;0,5974;0,3421;0,6763;0,7953;False;64,2000
Z100-L1465;JURERÊ SPORTS CENTER;AVENIDA DOS DOURADOS, 481;JURERÊ INTERNACIONAL;Jurere Oeste;Norte da Ilha;88053410;-27,4435;-48,5067;3188,0000;3188,0000;3122,0000;8,0000;2578,0000;0,1913;2457,0000;230,0000;0,0936;672,0000;0,2735;902,0000;0,3671;2443,0000;485,0000;0,1985;756,0000;0,3095;1241,0000;0,5080;1547,0000;0,6112;120,0000;0,0480;781,0000;0,3125;1993,0000;169,0000;0,0848;453,0000;0,2273;622,0000;0,3121;Manoella Vieira Da Silva (PL, 130 votos) | Ingo Camara Althoff (PL, 52 votos) | Ana Candida Martinelli Neves (PL, 47 votos);Topazio Silveira Neto (71,6%);"{""Topazio Silveira Neto"": 71.6, ""Marcos José De Abreu"": 14.6, ""Pedro De Assis Silvestre"": 7.3, ""Dário Elias Berger"": 3.3, ""Vanderlei Farias"": 3.0, ""Carlos Rogério Muller"": 0.0, ""Mateus Souza"": 0.0, ""Rogerio Silva Portanova"": 0.0}";2,0000;0,0022;0,0797;0,2977;0,6390;0,5251;0,4674;0,7575;0,3695;0,7903;False;63,1000
Z100-L1317;ESCOLA BASICA MUNICIPAL OSMAR CUNHA;RUA TERTULIANO DE BRITO XAVIER, 661;CANASVIEIRAS;Canasvieiras;Norte da Ilha;88054300;-27,4363;-48,4645;7037,0000;7037,0000;6941,0000;18,0000;5500,0000;0,2184;5008,0000;140,0000;0,0280;1028,0000;0,2053;1168,0000;0,2332;4927,0000;472,0000;0,0958;1048,0000;0,2127;1520,0000;0,3085;2792,0000;0,5081;63,0000;0,0121;1186,0000;0,2283;4374,0000;140,0000;0,0320;496,0000;0,1134;636,0000;0,1454;Giliard Eliezer Batista Torquato (PL, 80 votos) | Manoella Vieira Da Silva (PL, 72 votos) | João Paulo Ferreira (PL, 38 votos);Topazio Silveira Neto (68,3%);"{""Topazio Silveira Neto"": 68.3, ""Marcos José De Abreu"": 13.7, ""Dário Elias Berger"": 7.2, ""Vanderlei Farias"": 5.3, ""Pedro De Assis Silvestre"": 5.2, ""Carlos Rogério Muller"": 0.2, ""Rogerio Silva Portanova"": 0.1, ""Brunno Andrade Dias"": 0.0}";0,0000;0,0000;0,1191;0,1799;0,2250;0,5292;0,6052;0,2487;0,8155;0,6648;False;62,9000
Z100-L1180;ESCOLA BASICA JOSÉ DO VALLE PEREIRA;RODOVIA JOAO PAULO, 1268;JOÃO PAULO;João Paulo;Centro;88030300;-27,5621;-48,5158;4283,0000;4283,0000;4185,0000;11,0000;3713,0000;0,1331;3468,0000;227,0000;0,0655;601,0000;0,1733;828,0000;0,2388;3431,0000;518,0000;0,1510;634,0000;0,1848;1152,0000;0,3358;1724,0000;0,4736;142,0000;0,0400;758,0000;0,2136;3006,0000;229,0000;0,0762;483,0000;0,1607;712,0000;0,2369;Manoella Vieira Da Silva (PL, 128 votos) | Ingo Camara Althoff (PL, 58 votos) | Rafael Luiz Marques Ary (NOVO, 42 votos);Topazio Silveira Neto (62,8%);"{""Topazio Silveira Neto"": 62.8, ""Marcos José De Abreu"": 21.5, ""Pedro De Assis Silvestre"": 6.8, ""Vanderlei Farias"": 5.1, ""Dário Elias Berger"": 3.5, ""Rogerio Silva Portanova"": 0.3, ""Carlos Rogério Muller"": 0.1}";6,0000;0,0072;0,0915;0,2157;0,4238;0,5132;0,4290;0,5865;0,4963;0,9936;False;62,8000
